x,y,z,objective
1.024642846795040807e-01,6.634003029094297510e-01,9.700670757901481700e-01,4.071674967252928212e+00
8.921990679778779576e-01,-6.577997260168101379e-01,9.709581939159006581e-02,1.140502852780482002e+01
-8.433088072887466868e-01,4.199442494128395875e-01,-3.354036288898022411e-01,1.577259683777403332e+00
-4.510292247147901223e-01,-2.984954926080997106e-01,-9.162213204002112032e-02,1.782524296265644903e+00
-2.106169555339137966e-01,-3.090912483603550642e-01,-6.091702254926716353e-01,9.001238317069319983e-01
3.478788785202313605e-02,-6.262378215816118976e-01,2.840274906789419518e-02,2.138948955997800105e+00
7.354385429900980320e-01,1.940735526388115417e-02,-7.069746930326020751e-01,2.293880020418141541e+00
2.853927675732390590e-01,-3.683180921646845851e-01,-8.228034992108518297e-01,1.549312143969759248e+00
5.607412019303494866e-01,-5.099836891079180257e-01,5.742882780793192588e-01,4.382784304673962517e+00
-1.296207284431021289e-01,4.976774793639999750e-01,-2.803772425950719072e-01,1.275387412400903919e+00
4.414737938156354513e-01,-8.532525796492640424e-01,4.025557231373333433e-01,6.118138192716953583e+00
9.517183983462722541e-01,5.958013259417693774e-02,-3.652306884586684621e-01,4.579070019638582956e+00
6.951163942996807510e-01,7.657883486743919388e-01,-5.720076246869800762e-01,1.095146621172538470e+00
-9.061019117422389746e-01,-4.247588455055635315e-01,7.482805739442390802e-01,1.087376007236444408e+01
-6.954660201039390977e-01,-5.629389990800008903e-01,7.668738857823007571e-01,8.060859397337162946e+00
-3.155855538044705089e-01,9.739965989411092373e-01,1.726644860328359066e-01,4.421501064733424080e+00
9.407572772237238201e-01,-1.484792313882279391e-01,8.612433588319443611e-01,7.358059712138486752e+00
5.030250529217905608e-01,-2.447413675213824247e-01,-7.798949989405542516e-01,1.927007455034978056e+00
-1.960937117511558636e-01,3.955753748974040196e-01,-4.097991431209572211e-01,8.095665371073305083e-01
-2.261364445526936606e-03,2.337334834618367552e-01,6.805661355155259162e-01,1.492684321890529908e+00
4.864325484113052322e-01,7.085631245424035551e-01,8.321623336653203307e-01,2.623101155174077270e+00
8.595327451563106180e-02,-2.713480415791236222e-02,-9.070462112487380768e-01,5.757782398320857586e-01
-2.901098490377019834e-01,-7.537275321839885800e-01,-1.993443468300257759e-01,3.775273174263665599e+00
1.613877615351670958e-01,3.400642159232913908e-01,-2.761058561802087752e-04,6.233686781955929401e-01
-4.407730714227416913e-01,8.646571328076191332e-01,3.135496415979506235e-01,3.240160409042224465e+00
-5.385635173342973037e-01,-1.537022325867045680e-01,2.820767135727864083e-01,2.097942796297378454e+00
-5.579345297625659672e-02,1.568448287062202962e-01,-2.311649063413778737e-01,2.054083718097552136e-01
8.334550987573674519e-01,-4.531779175143011429e-01,-6.655491160857831545e-01,7.650104832345383521e+00
-7.662591661013373745e-01,5.135196910830968076e-01,-8.818778735677607061e-01,1.247002171482562094e+00
-5.943606371288163714e-01,-8.236107462580974925e-01,-5.059797122969150740e-01,7.582468803843619654e+00
7.643377606388501722e-01,1.119607475691553056e-01,4.719361401215251828e-01,2.130538033324576919e+00
-6.385483589977281049e-01,-7.246897798182195816e-01,5.238633585309002694e-01,8.216632175153741002e+00
-7.213770509179274759e-01,9.487290436627950907e-01,1.446054286503346553e-01,2.198445356713278009e+00
-8.515714592843366404e-01,2.681794794368108636e-01,2.342822009461837940e-01,2.786177499032725269e+00
-3.754285345582351052e-01,-9.453783236963047010e-01,3.875353885425563139e-01,6.921113966221049019e+00
3.294808538482185689e-01,-8.777755692715238922e-02,-4.614399082745810343e-01,3.783105917805698049e-01
-9.538489954914396440e-01,-9.644875726456884069e-01,-9.580610643627002210e-01,1.926640276897478898e+01
6.035151173828712245e-01,6.095939810217791965e-01,-1.316701878255210900e-01,6.466329117674336491e-01
2.064269704906140923e-01,5.598163961550441936e-01,9.406714970556984134e-01,3.138154425543041803e+00
3.553720500755011003e-01,8.230328879042176915e-01,6.096279922417970898e-01,3.388446056878361645e+00
3.296852990734395750e-01,-7.963229984209863055e-02,-4.601007298383272826e-01,3.622118964934989416e-01
3.726414027074484991e-01,-6.195557897961478933e-01,-9.979660383751653985e-01,3.795291029782081438e+00
1.151338205967458173e-01,-4.561331643528010460e-03,-1.937754695319566789e-01,5.705186001070625124e-02
1.030296000467327833e-01,1.755943223637879136e-02,-2.355305999326595678e-01,5.140337312759282740e-02
1.052549083068017310e-01,2.452129782903567090e-02,-2.668407990029233456e-01,5.140942015960789369e-02
1.343984051362758780e-01,2.067821169220240840e-02,-2.272929858750338816e-01,5.209994460461903759e-02
1.419072863998025458e-01,3.323345015925549539e-02,-2.227867774437126691e-01,5.366590366822779345e-02
1.309988501749428380e-01,2.443825317275627462e-02,-2.625836334433060415e-01,5.139438666401933975e-02
9.579096376843265759e-02,-3.984984393446522333e-03,-2.450938223489527168e-01,5.178148423354766300e-02
1.218887333753779778e-01,6.577058455481399335e-05,-2.188036863244879893e-01,5.342555602809627435e-02
1.396108792823709255e-01,2.253908809739391117e-02,-2.552371376390172308e-01,5.164953328257705645e-02
9.941025218232046878e-01,9.777942420942666857e-01,-1.223864115473149994e-01,9.945891962947974729e-01
4.254661771855028363e-02,-3.999013175965182576e-01,9.814638409219682558e-01,2.824839691098435690e+00
